Title,Year,imdbID,Type,Poster
Super Fly T.N.T.,1973,tt0070753,movie,https://m.media-amazon.com/images/M/MV5BNjg0ZDM5YTgtNGM0YS00OTk2LWE2MzktNzdjMTA3YmRkMjEwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
Power Rangers Super Megaforce: The Legendary Battle,2015,tt4962796,movie,https://m.media-amazon.com/images/M/MV5BNGIxNzEwNDctYmY0Yi00MGFhLTg5ZWEtOWMxYzZlYWUxMTIyXkEyXkFqcGdeQXVyNDA5ODU0NDg@._V1_SX300.jpg
"Superbug, Super Agent",1972,tt0068825,movie,https://m.media-amazon.com/images/M/MV5BMzU0M2YzNTYtMTU2ZC00MWEwLThlNDEtNjgzOTI4ODdhNjYxXkEyXkFqcGdeQXVyMTY5MDE5NA@@._V1_SX300.jpg
Super Bowl XXXV,2001,tt0312212,movie,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg
DC Super Hero Girls: Legends of Atlantis,2018,tt8634256,movie,https://m.media-amazon.com/images/M/MV5BOGMzNDQ2NDEtODFkNS00NzQ1LWJiOGMtYjZiZDBjYmY5NmQ3XkEyXkFqcGdeQXVyMzYyODU2NTU@._V1_SX300.jpg
Super Ninja Bikini Babes,2007,tt1274430,movie,N/A
Super vacanze di Natale,2017,tt7666582,movie,https://m.media-amazon.com/images/M/MV5BZmZkMDc1MjMtN2U0Mi00NjI3LWE1NDQtZGE4ZTMzYzBmMjNiXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg
Super Gidget,2019,tt10627764,movie,https://m.media-amazon.com/images/M/MV5BZmRiMmRiNjgtZGJhOS00ZGFhLWFkYzUtYjE2ZTM1MTAzNWI4XkEyXkFqcGdeQXVyMTA2MDcxNjk0._V1_SX300.jpg
Super DuckTales,1989,tt0191519,movie,N/A
Super Furball,2018,tt5822132,movie,https://m.media-amazon.com/images/M/MV5BYWQ0ODQwZjUtM2JhNS00NWIzLWJkMGQtNTAwYWE3MWU3YjEwXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg
Super Salaryman,2012,tt2754800,movie,https://m.media-amazon.com/images/M/MV5BZWIxNGQzYzQtYjA3Yi00YTk5LTg5NTUtZDE0MTNiMTFkY2ZmXkEyXkFqcGdeQXVyMjA0MDI5NjQ@._V1_SX300.jpg
Super rapina a Milano,1964,tt0168201,movie,https://m.media-amazon.com/images/M/MV5BZDE4ZTc5ZmYtYjg2ZS00ZTZhLTk3NzQtNmQzYTczNzZmZDUyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg
Super-Hooper-Dyne Lizzies,1925,tt0016375,movie,https://m.media-amazon.com/images/M/MV5BNjgzMzMxNjU3NV5BMl5BanBnXkFtZTcwNDU1NDE2Mw@@._V1_SX300.jpg
Super Detention,2016,tt5639536,movie,https://m.media-amazon.com/images/M/MV5BYTA2MWQ3ZGQtZmVlNi00ZmVjLWE3MWQtOWRjZGQ0MjVjMDZjXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_SX300.jpg
Super Bowl XXX,1996,tt0478284,movie,N/A
Super Nani,2014,tt2630076,movie,https://m.media-amazon.com/images/M/MV5BYjE4OTAxNTgtNDIzNC00Nzk1LTgxYWMtYmUwMjJhYmM4YzQzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg
Super Bowl XXXVIII,2004,tt0399708,movie,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg
Super Bowl XLVI Halftime Show,2012,tt2331680,movie,https://m.media-amazon.com/images/M/MV5BNzA3OTY3NjY3NV5BMl5BanBnXkFtZTgwMDYxMTkwMDE@._V1_SX300.jpg
Super Clyde,2013,tt2708090,movie,https://m.media-amazon.com/images/M/MV5BNmUxMWZkYjQtMGFjYy00M2FmLWEyMjYtNjk2ZDY3ZmM2Y2U3XkEyXkFqcGdeQXVyNTAzOTQ2ODU@._V1_SX300.jpg
Lego DC Super Hero Girls: Brain Drain,2017,tt7158814,movie,https://m.media-amazon.com/images/M/MV5BZjYwODBmMDMtZDhlMy00MmRhLWE3YmUtOGNmMWQwOWMyYzI4XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_SX300.jpg
DC Super Hero Girls: Intergalactic Games,2017,tt6869644,movie,https://m.media-amazon.com/images/M/MV5BMjczODczNjYtZGVhMC00MjZmLWI4NmEtMTg0MzU2MzQ5NTQ2XkEyXkFqcGdeQXVyMDY4Mzk5Ng@@._V1_SX300.jpg
Super Hero,2018,tt8202076,movie,https://m.media-amazon.com/images/M/MV5BMDAzMWQyYzAtN2RkMS00MzQ0LWJmNzYtMzMwZTkxYjJhMGVkXkEyXkFqcGdeQXVyMjQwODkxNzg@._V1_SX300.jpg
Super Bowl XL,2006,tt0478278,movie,N/A
Super Bowl LI,2017,tt5447518,movie,https://m.media-amazon.com/images/M/MV5BOTJkYzZmZTAtMzllMC00NWIxLWI4YjMtNzA2ZjNkZWIyNDJmL2ltYWdlXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
LEGO Marvel Super Heroes - Guardians of the Galaxy: The Thanos Threat,2017,tt7387224,movie,https://m.media-amazon.com/images/M/MV5BMjhlYzVhNTMtMmFkYy00NDhiLTkyNDgtYzhhMTZiMzM2OTA5XkEyXkFqcGdeQXVyNjI2OTgxNzY@._V1_SX300.jpg
Super Lunch,2009,tt1422764,movie,N/A
Sounder Super Search,2009,tt1477851,movie,N/A
Super Ghosts 'n... Ghosts?,2009,tt1488117,movie,N/A
Tetsudô sôsakan 6: Tokkyu super yakumo no satsui,2005,tt1464587,movie,N/A
Super Deluxe,2009,tt1496893,movie,N/A
3x Super Robot Heartbreak,2007,tt1413932,movie,N/A
Super Smile,2008,tt1416792,movie,N/A
The Funkmaster Flex Super Series,2004,tt1349854,movie,N/A
Super Green Duo: Chapter 1 - Day at the Park,2009,tt1358400,movie,https://m.media-amazon.com/images/M/MV5BMTM0MDYyMDM5Ml5BMl5BanBnXkFtZTcwMTQxODM1Mg@@._V1_SX300.jpg
Slightly Super,2007,tt1358495,movie,https://m.media-amazon.com/images/M/MV5BMTc2NzU5ODc5MF5BMl5BanBnXkFtZTcwOTI3MTYwNw@@._V1_SX300.jpg
Super Deformed Double Feature,1992,tt0160929,movie,https://m.media-amazon.com/images/M/MV5BODZlODFlNzQtMTc5Ni00ZWM3LTlkMjMtMDc4MTczZGIyOTA5XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg
Super Bowl V,1971,tt0475739,movie,N/A
Super Bowl XXXVIII Halftime Show,2004,tt0783591,movie,N/A
History of Super Mecha Death Christ,2009,tt2308719,movie,N/A
Super Bowl XII,1978,tt0477101,movie,N/A
Thekkekara Super Fast,2004,tt0413366,movie,https://m.media-amazon.com/images/M/MV5BN2M4NGNlNjgtMGZhMy00MGUzLWJhNWUtNzAzN2M1NDdiN2RlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg
Super Grass,1994,tt0111316,movie,N/A
My Friends Tigger and Pooh Super Sleuth Christmas Movie: 100 Acre Wood Downhill Challenge,2007,tt1284495,movie,https://m.media-amazon.com/images/M/MV5BZDQ2NTJkNDYtYzg4Ny00NWEwLWEwNmItMzM3NTIyMzRlMjE4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjA5MDY1MzM@._V1_SX300.jpg
Marvel 14: Les super-héros contre la censure,2009,tt1510807,movie,https://m.media-amazon.com/images/M/MV5BNzdiY2RiZTQtNTcwYS00OGE1LWIwYTctOWUzNzhkYmMzZTI3XkEyXkFqcGdeQXVyNzcwMDIzMTE@._V1_SX300.jpg
Smash Cuts!: Super Sci-Fi Short Fest,2001,tt0376893,movie,https://m.media-amazon.com/images/M/MV5BY2Q3NTA1NzItN2QxMi00MjhlLWEwOWQtNjMwMjUxOTg0M2ZjXkEyXkFqcGdeQXVyNjYzMzkzNDg@._V1_SX300.jpg
Super Nova,2020,tt11765010,movie,N/A
Super Slams of the NBA,1991,tt11861270,movie,https://m.media-amazon.com/images/M/MV5BYTc2NWNmZTktZWI4Zi00ZDY3LWE1NWItMGQxMGZhZjQyOWFhXkEyXkFqcGdeQXVyODQ1NTk5OQ@@._V1_SX300.jpg
Super Bowl LIII: A Peyton Manning Production,2019,tt11879652,movie,N/A
Super Tuesday: Your Voice Your Vote 2020,2020,tt11899736,movie,https://m.media-amazon.com/images/M/MV5BNjU3MDA3OTgtYmEwYS00NmRjLTlkODEtYjgwOWUwOTVjN2JhXkEyXkFqcGdeQXVyOTQ2OTgzOQ@@._V1_SX300.jpg
Dio: Super Rock '85 in Japan,1985,tt11967098,movie,https://m.media-amazon.com/images/M/MV5BNjk4ZjcyNTAtN2Y4Mi00NTc3LTlmN2UtMjNhYjFhMWE3ODk4XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_SX300.jpg
Super Smash Bros. Battle Royale,2018,tt11968650,movie,N/A
Super Bowl LIV Champions: Kansas City Chiefs,2020,tt11980636,movie,https://m.media-amazon.com/images/M/MV5BNTQ2MzJkMzUtMjllNy00MmQ4LTliODgtOTg4NGUxM2Q2ZDNjXkEyXkFqcGdeQXVyMTAxOTgwMzQ0._V1_SX300.jpg
Lark Super Lights Timothy Dalton James Bond Television Commercial,1989,tt11986814,movie,https://m.media-amazon.com/images/M/MV5BZTMwMWU5ODEtYTViNi00OGE5LWFjN2YtMTRhYTYxOWU2MDYyXkEyXkFqcGdeQXVyMTY1MTcxMzc@._V1_SX300.jpg
Billy Idol: In Super Overdrive,2010,tt12019036,movie,N/A
Super Mario Bros. Z 4K,2020,tt12064860,movie,https://m.media-amazon.com/images/M/MV5BNTkyMzU2NDgtZjEwYy00MjA1LThlNGYtNzNmZmYzYTFkMmQ4XkEyXkFqcGdeQXVyMTEyNDI0NjIy._V1_SX300.jpg
Super 8,2011,tt1650062,movie,https://m.media-amazon.com/images/M/MV5BMjIzNjEyMzcwOF5BMl5BanBnXkFtZTcwMTkyMjE0NQ@@._V1_SX300.jpg
Super Size Me,2004,tt0390521,movie,https://m.media-amazon.com/images/M/MV5BMTYyOTk4MjIxOF5BMl5BanBnXkFtZTcwMzk1NTUyMQ@@._V1_SX300.jpg
Super Troopers,2001,tt0247745,movie,https://m.media-amazon.com/images/M/MV5BYzAyOTZjZDItZjNiYy00YTA3LWEyYWMtZTA0NmUzYjZhNjg0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
Super,2010,tt1512235,movie,https://m.media-amazon.com/images/M/MV5BMTcxMDkxNjI1NF5BMl5BanBnXkFtZTcwMzE5Njc1NA@@._V1_SX300.jpg
My Super Ex-Girlfriend,2006,tt0465624,movie,https://m.media-amazon.com/images/M/MV5BMTc4OTA4OTYyMl5BMl5BanBnXkFtZTcwMzU4NDQzMQ@@._V1_SX300.jpg
Super Mario Bros.,1993,tt0108255,movie,https://m.media-amazon.com/images/M/MV5BZGVmZTUyZDAtYjg0MC00NmE5LWE2OTAtM2FjNGI1NWUyMzE0XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg
Super Troopers 2,2018,tt0859635,movie,https://m.media-amazon.com/images/M/MV5BZmFhMjM2NmQtYWM3Yi00YmJhLWIxOTgtYWY3ZjNlYzMwOWJmXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg
Dragon Ball Super: Broly,2018,tt7961060,movie,https://m.media-amazon.com/images/M/MV5BMjhhMDU5Y2QtMzcyZS00ZGE1LTg3ZjMtMTYyOTM0OTFlYTRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Super 30,2019,tt7485048,movie,https://m.media-amazon.com/images/M/MV5BMWQzM2Y0ZDQtYjA1MS00YmUzLWFiMGQtZTliZWM1MWRiNDZhXkEyXkFqcGdeQXVyNTE2MzU4OTA@._V1_SX300.jpg
Super Dark Times,2017,tt5112578,movie,https://m.media-amazon.com/images/M/MV5BMjA4NzU2ODA5OF5BMl5BanBnXkFtZTgwNTk1ODkwMzI@._V1_SX300.jpg
Super Duper Alice Cooper,2014,tt3228830,movie,https://m.media-amazon.com/images/M/MV5BNzEyNjMxNjA3Nl5BMl5BanBnXkFtZTgwMjA3OTQyMTE@._V1_SX300.jpg
Super Capers: The Origins of Ed and the Missing Bullion,2009,tt1161064,movie,https://m.media-amazon.com/images/M/MV5BNDY4NzIyODE4M15BMl5BanBnXkFtZTcwMzkyMzY3MQ@@._V1_SX300.jpg
Super Rhino,2009,tt1368151,movie,https://m.media-amazon.com/images/M/MV5BZmEwMjE3MTMtNWY1NS00MGFiLWI1MTQtMTExZmY0ZmQ2MTZlXkEyXkFqcGdeQXVyNjIzODI5OTQ@._V1_SX300.jpg
Super Tanker,2011,tt1776309,movie,https://m.media-amazon.com/images/M/MV5BMTczNzkwMTAyMF5BMl5BanBnXkFtZTcwMTg3MDUzNw@@._V1_SX300.jpg
Super Sucker,2002,tt0293624,movie,https://m.media-amazon.com/images/M/MV5BMTkwNDk5MTY5OF5BMl5BanBnXkFtZTcwOTI1NjYzMQ@@._V1_SX300.jpg
Zwei Nasen tanken Super,1984,tt0088459,movie,https://m.media-amazon.com/images/M/MV5BMTk1MDUyMTAzNl5BMl5BanBnXkFtZTcwNzU4NDcxMQ@@._V1_SX300.jpg
Secret Agent Super Dragon,1966,tt0060956,movie,https://m.media-amazon.com/images/M/MV5BMTY1MTM4NzkxOF5BMl5BanBnXkFtZTgwMDYwODk1MDE@._V1_SX300.jpg
Super Crazy,2018,tt7177720,movie,https://m.media-amazon.com/images/M/MV5BYTFiOThjYzktNDVlNy00MjJlLThkODMtYmZiYmYzMDhmNjQzXkEyXkFqcGdeQXVyNDk3OTg1Mw@@._V1_SX300.jpg
LEGO DC Comics Super Heroes: Aquaman - Rage of Atlantis,2018,tt8457394,movie,https://m.media-amazon.com/images/M/MV5BMzQyMjQ5YTUtNWY3Ni00NjZkLWExMmUtYTliYWRlNDIyZmJkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
The Super Cops,1974,tt0072228,movie,https://m.media-amazon.com/images/M/MV5BOWNhMTNlNmItOTAzYS00NDY2LWEzNzYtZDk2NDNjMGNhYTgzXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg
The Adventures of Super Monkey,2007,tt0938281,movie,https://m.media-amazon.com/images/M/MV5BMTQyNDc3NjUxOV5BMl5BanBnXkFtZTgwMTU2NTcwMzE@._V1_SX300.jpg
"You're in the Super Bowl, Charlie Brown!",1994,tt0159142,movie,https://m.media-amazon.com/images/M/MV5BYWM5MjdiNWEtZWViYS00NjkzLWJiYTMtZDM0NDFhYjcxNGU5XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg
The Super Ninja,1986,tt0188764,movie,https://m.media-amazon.com/images/M/MV5BMTYyOTY1MDMxNl5BMl5BanBnXkFtZTcwNTQ3MzA0MQ@@._V1_SX300.jpg
WWE Super Show-Down,2018,tt8948178,movie,https://m.media-amazon.com/images/M/MV5BYjA2NmY0NjAtZTExOC00NjEzLWE0ODEtZTRmMWI1MDViMzRmXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg
The Super,2010,tt1640569,movie,https://m.media-amazon.com/images/M/MV5BMTU2OTY2NTQ2NV5BMl5BanBnXkFtZTcwNDE0OTAxNA@@._V1_SX300.jpg
Süper incir,2013,tt3007150,movie,https://m.media-amazon.com/images/M/MV5BODNiMjE0NDktNDBlOC00NTU2LWFjOTItYjA4NzU4NGYwYzkxXkEyXkFqcGdeQXVyMjc0MjUzMzU@._V1_SX300.jpg
Super Juice Me!,2014,tt3529920,movie,https://m.media-amazon.com/images/M/MV5BMTYwMjYzMjA2Nl5BMl5BanBnXkFtZTgwMTMyMTM3MTE@._V1_SX300.jpg
Super 8½,1994,tt0108254,movie,https://m.media-amazon.com/images/M/MV5BNDkwMjM1ODgxM15BMl5BanBnXkFtZTcwNTkwNDgxMQ@@._V1_SX300.jpg
Super Demetrios,2011,tt2071601,movie,https://m.media-amazon.com/images/M/MV5BNjc3NjExMTM4NV5BMl5BanBnXkFtZTcwOTUzMDA5Ng@@._V1_SX300.jpg
Chor chor super chor,2013,tt2337292,movie,https://m.media-amazon.com/images/M/MV5BMzU5OTkwMzg0Nl5BMl5BanBnXkFtZTgwMTc2NDM2NDE@._V1_SX300.jpg
Hyakujuu Sentai Gaoranger vs. Super Sentai,2001,tt0291255,movie,https://m.media-amazon.com/images/M/MV5BYjkwYWIyYjYtNzgyZS00MjM3LWE3MTktY2I0ZTNkNWFiMDM4XkEyXkFqcGdeQXVyMzUwMTgwMw@@._V1_SX300.jpg
Super,2009,tt1580428,movie,N/A
Super Noypi,2006,tt0877717,movie,https://m.media-amazon.com/images/M/MV5BOGU1ZTA4N2MtMzdjYi00MWM2LTk1OTAtMmU5NmNmODQzMTBhXkEyXkFqcGdeQXVyNzQ0MDQyNjY@._V1_SX300.jpg
Super Bowl XXVIII,1994,tt0478283,movie,N/A
DC Super Heroes vs. Eagle Talon,2017,tt7112166,movie,https://m.media-amazon.com/images/M/MV5BMWI5ODQ4OTEtNTk1ZS00OTdhLWI3MzMtODI3YWNlNzIyOTRjXkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_SX300.jpg
Super Nada,2012,tt2237158,movie,https://m.media-amazon.com/images/M/MV5BMjNjZmRiMTYtNTBjNi00NDdkLWFmZTktNDM5OTI3NGFjMTFjXkEyXkFqcGdeQXVyNTkxMzg1MDY@._V1_SX300.jpg
Super Bowl XX,1986,tt0477108,movie,N/A
Super Bowl XXXV Halftime Show,2001,tt0402512,movie,https://m.media-amazon.com/images/M/MV5BOTJjOTA3ODgtNzU5OS00ZGYyLTljNDUtZjIzM2QyMTM5OTI2XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg
Super Bowl III,1969,tt0475736,movie,N/A
WWE Super Show-Down,2019,tt10360200,movie,https://m.media-amazon.com/images/M/MV5BZjlkMTFhN2MtN2EzYS00MWVhLTkyN2MtMTgwMWJiZTE2Y2IzXkEyXkFqcGdeQXVyMzQwNDk2ODM@._V1_SX300.jpg
Super Bowl LIII Halftime Show Starring Maroon 5,2019,tt9636548,movie,https://m.media-amazon.com/images/M/MV5BM2YxNDZlYWMtMWM0OS00MmY2LWFlMDUtNTJlOThmMmQ4Nzc2XkEyXkFqcGdeQXVyNjczNTA3NDU@._V1_SX300.jpg
The Super Friends versus Professor Vinyl,2003,tt0389421,movie,N/A
Super Jesus,1999,tt0222406,movie,N/A
Ups and Downs of a Super Stud,1979,tt0131533,movie,https://m.media-amazon.com/images/M/MV5BMjczZDMyMzUtZjRkOC00NTMwLTg1NWYtZTEzNjgyM2E1ZWFhXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_SX300.jpg
Africa's Super Seven,2005,tt1828127,movie,https://m.media-amazon.com/images/M/MV5BNTM1YzgzZWUtNWE4NS00MTJmLTkwY2QtMzYxYTMyZjczM2VhXkEyXkFqcGdeQXVyNjgzMDY1Mzc@._V1_SX300.jpg
Super Monsters Furever Friends,2019,tt10087988,movie,https://m.media-amazon.com/images/M/MV5BNzQyM2ViZTEtYzg3My00ZTNhLTkyYjktMzBjZWVhMTQ4NDM1XkEyXkFqcGdeQXVyMTAxNzYzMzM0._V1_SX300.jpg
DC Super Friends: The Joker's Playhouse,2010,tt1773355,movie,https://m.media-amazon.com/images/M/MV5BMGJkNDdjMzQtMjcxYy00NjAxLWIzZDAtZmRkMjFmNmJkNmMxXkEyXkFqcGdeQXVyMzAzNjA3NjI@._V1_SX300.jpg
Super Bowl XXV,1991,tt0478280,movie,N/A
Super Monsters Save Christmas,2019,tt11193860,movie,https://m.media-amazon.com/images/M/MV5BYjMxZjI5ZWUtNWVmNS00YTUwLWExY2ItZDU5ZTg2ZTc4NzllXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
Super Monsters Save Halloween,2018,tt9085726,movie,https://m.media-amazon.com/images/M/MV5BMjVhOTUwMDItNGY0MS00OWVkLWI5MWEtYjBiMGY2ODljMjNkXkEyXkFqcGdeQXVyMzY1NjYzMDA@._V1_SX300.jpg
Porky's Super Service,1937,tt0029432,movie,https://m.media-amazon.com/images/M/MV5BYmIyNjhlMjUtNzNmNi00NDJlLWIwNjAtZTQ5ODBiZTE2NGMxXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg
Super Hero,1979,tt0078911,movie,https://m.media-amazon.com/images/M/MV5BMTI1OTkyMjE5NV5BMl5BanBnXkFtZTcwMDA0OTgxMQ@@._V1_SX300.jpg
Bishôjo senshi Sailor Moon Super S Special,1995,tt0315296,movie,N/A
UFC 51: Super Saturday,2005,tt0477906,movie,N/A
Super Fans,2007,tt0996532,movie,https://m.media-amazon.com/images/M/MV5BZGY2OWI1MTItYjRiMi00NGE0LWIwNTktNjIxMDQzY2IzOTllXkEyXkFqcGdeQXVyMjg0MTI5NzQ@._V1_SX300.jpg
Heisei Rider vs. Shôwa Rider: Kamen Rider Taisen featuring Super Sentai,2014,tt3472586,movie,https://m.media-amazon.com/images/M/MV5BNjZjMTQxMzMtNWJkYi00YWQwLThmMDctNTU2YmNiM2ZkMGY0XkEyXkFqcGdeQXVyNTA0OTU0OTQ@._V1_SX300.jpg
Los Super,2013,tt2770038,movie,https://m.media-amazon.com/images/M/MV5BNzc4MjEyMjExOF5BMl5BanBnXkFtZTcwMDc0MTA4OQ@@._V1_SX300.jpg
Broly the Legendary Super Saiyan Abridged,2016,tt6422070,movie,https://m.media-amazon.com/images/M/MV5BM2Q1OGM4N2ItZTU3Ny00Y2RiLTlhOWMtYzg0NmI0NGYyZmQwXkEyXkFqcGdeQXVyNjU1OTg4OTM@._V1_SX300.jpg
Super Bowl XXVII Halftime Show,1993,tt0482607,movie,https://m.media-amazon.com/images/M/MV5BMjAxODAxNjMtZjY0My00ZTI0LWIyOWEtMTdmNGNhZGM5MDY4XkEyXkFqcGdeQXVyMjIzMTQ5NjE@._V1_SX300.jpg
Kamen Rider Super-1: The Movie,1981,tt0156674,movie,https://m.media-amazon.com/images/M/MV5BODZkYjgxOGMtNmMwOC00MDUwLTk4OWUtOWZjNzRjZTU5YWIwXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg
President Super Star,2019,tt10810486,movie,https://m.media-amazon.com/images/M/MV5BZTM3ODViYmUtOGYyYy00MDk2LWJiZmItMjc4ZDI2NDNlMjEyXkEyXkFqcGdeQXVyNDMwOTc5MDg@._V1_SX300.jpg
Super Hijabi,2020,tt10822302,movie,https://m.media-amazon.com/images/M/MV5BNjA4MDNlZTgtYWVhNC00NzI4LWExZTUtYjYyODliN2IyYTJjXkEyXkFqcGdeQXVyNjgxMzY2NTU@._V1_SX300.jpg
Super 8 Hockey,2020,tt10907892,movie,https://m.media-amazon.com/images/M/MV5BN2M0OGM1NTUtMGVlYy00ZTI4LWIzMmYtNzAzNjY3MjAyZjkyXkEyXkFqcGdeQXVyNTA1MTgxMDU@._V1_SX300.jpg
Super Movie,2015,tt10922878,movie,https://m.media-amazon.com/images/M/MV5BZmQwNzdjZmUtMTBjOS00NGE4LWFiOTktNmQzMmFmNzRmNjFmXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg
Super Machi,2020,tt11603828,movie,N/A
Super 8,2019,tt11618220,movie,https://m.media-amazon.com/images/M/MV5BOGRkYjVkMTctOGZjMC00OTkxLTkxMmMtYWZhYzU5ZDNmZDFjXkEyXkFqcGdeQXVyNTc5NjczOTE@._V1_SX300.jpg
Super et Naturel,2019,tt11620892,movie,N/A
Super Small Animals,2017,tt11576276,movie,https://m.media-amazon.com/images/M/MV5BY2UwN2E3MmEtNjkyZS00M2NhLWFlODUtM2IwZWE2ZWQ4ZjYzXkEyXkFqcGdeQXVyODcxMDQ0MDk@._V1_SX300.jpg
Super Luigi Thunder The Movie 3: A Shocking Tale,2019,tt10662188,movie,N/A
