Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Super Hybrid,2010,PG-13,04 Aug 2011,94 min,"Horror, Sci-Fi, Thriller",Eric Valette,Neal Marshall Stevens,"Alden Adair, Shannon Beckner, Shane Bellegarde, Adrien Dorval","Late one night, a mysterious car is brought into the Chicago police impound garage after a deadly traffic accident. The on-call mechanics soon discover the car has a mind of its own. With ...",English,"USA, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMjI0MzUwMjIwN15BMl5BanBnXkFtZTcwNDI2OTE3NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}]",N/A,3.9,"1,589",tt1152827,movie,N/A,N/A,Stallion Media,N/A,True
Super Size Me 2: Holy Chicken!,2017,PG-13,13 Sep 2019,93 min,Documentary,Morgan Spurlock,"Jeremy Chilnick, Morgan Spurlock","Morgan Spurlock, Jonathan Buttram, Jeff Vespa",Morgan Spurlock reignites his battle with the food industry - this time from behind the register - as he opens his own fast food restaurant.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMWVkOTBjMWYtNzE4Zi00MGU5LWI0YTktZWM2ZmQ2ZDFiYzU3XkEyXkFqcGdeQXVyMjE4NzUxNDA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,7.1,"3,225",tt7215262,movie,N/A,N/A,N/A,N/A,True
Marvel 14: Les super-héros contre la censure,2009,N/A,11 Sep 2009,52 min,Documentary,"Jean Depelley, Philippe Roure",N/A,"Claude Vistel, Matthieu Dahan, Jean-Pierre Dionnet, Bernard Joubert","A documentary that tells the tale of issue 14 of French comic book Marvel, who was censored and banned before publication.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BNzdiY2RiZTQtNTcwYS00OGE1LWIwYTctOWUzNzhkYmMzZTI3XkEyXkFqcGdeQXVyNzcwMDIzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,23,tt1510807,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXX,1996,N/A,28 Jan 1996,N/A,Sport,N/A,N/A,"Troy Aikman, Larry Allen, Bill Bates, Myron Bell",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,116,tt0478284,movie,N/A,N/A,N/A,N/A,True
Super Fantozzi,1986,N/A,23 Dec 1986,92 min,Comedy,Neri Parenti,"Alessandro Bencivenni, Leonardo Benvenuti, Piero De Bernardi, Neri Parenti, Domenico Saverni, Paolo Villaggio","Paolo Villaggio, Liù Bosisio, Gigi Reder, Plinio Fernando","When God created man, his first try at it wasn't very successful... Fantozzi was born, and right from the beginning of time he was doomed to be humiliated and laughed at. In a number of ...",Italian,Italy,1 nomination.,https://m.media-amazon.com/images/M/MV5BMDRiYjI1ZDctMWQ0MC00NzIzLTk5MTAtMDVjNGM0MGRhZmNiXkEyXkFqcGdeQXVyNjA4MDAyNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,809",tt0090101,movie,N/A,N/A,N/A,N/A,True
Super Ninja Bikini Babes,2007,TV-MA,15 Aug 2007,78 min,"Comedy, Fantasy, Sci-Fi",Fred Olen Ray,Cyrus Nickleby,"Christine Nguyen, Nicole Sheridan, Beverly Lynne, Voodoo",A comic book loving college coed is transformed into a superhero and attempts to thwart an alien invasion.,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '3.0/10'}]",N/A,3.0,128,tt1274430,movie,N/A,N/A,N/A,N/A,True
DC Super Hero Girls: Intergalactic Games,2017,Not Rated,09 May 2017,77 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Cecilia Aranovich,"Shea Fontana, Jerry Siegel (based on the characters created by), Joe Shuster (based on the characters created by), William Moulton Marston (character created by: Wonder Woman), John Ostrander (character created by: Amanda Waller), John Byrne (character created by: Amanda Waller), Arnold Drake (character created by: Beast Boy), Bob Rozakis (character created by: Bumblebee), Jose Delbo (character created by: Bumblebee), Marv Wolfman (characters created by: Cyborg,  Starfire & Blackfire), George Pérez (characters created by: Cyborg,  Starfire & Blackfire), Jack Kirby (characters created by: Fourth World), Gerry Conway (character created by: Frost), Al Milgrom (character created by: Frost), Paul Dini (character created by: Harley Quinn), Bruce Timm (character created by: Harley Quinn), Gardner Fox (character created by: Hawkgirl), Denny O'Neil (character created by: Lady Shiva), Roger Slifer (character created by: Lobo), Keith Giffen (character created by: Lobo), Mike W. Barr (character created by: Katana), Jim Aparo (character created by: Katana)","Yvette Nicole Brown, Greg Cipes, Romi Dames, Jessica DiCicco","Get ready for the Intergalactic Games; a friendly competition that aims to bring peace throughout the galaxy, but with these teams competing, it may get a little fierce! Facing off against ...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMjczODczNjYtZGVhMC00MjZmLWI4NmEtMTg0MzU2MzQ5NTQ2XkEyXkFqcGdeQXVyMDY4Mzk5Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}]",N/A,5.4,326,tt6869644,movie,N/A,N/A,DC Entertainment,N/A,True
Lego DC Super Hero Girls: Brain Drain,2017,Not Rated,25 Jul 2017,75 min,"Animation, Action, Adventure, Comedy, Family",Todd Grimes,"Jeremy Adams, James Krieg (story editor), John Ostrander (character created by: Amanda Waller), John Byrne (character created by: Amanda Waller), Arnold Drake (character created by: Beast Boy), Bob Rozakis (character created by: Bumblebee), Jose Delbo (character created by: Bumblebee), Marv Wolfman (character created by: Cyborg), George Pérez (character created by: Cyborg), Bob Haney (character created by: Eclipso), Paul Dini (character created by: Harley Quinn), Bruce Timm (character created by: Harley Quinn), Mike W. Barr (character created by: Katana), Jim Aparo (character created by: Katana), Jack Kirby (characters created by: Lashina & Mad Harriet), Jerry Siegel (based on the characters created by), Joe Shuster (based on the characters created by), William Moulton Marston (character created by: Wonder Woman), Roy Thomas (character created by: Wildcat), Todd McFarlane (character created by: Wildcat)","Yvette Nicole Brown, Greg Cipes, Romi Dames, John DiMaggio","The DC Super Girls go LEGO® in this animated adventure brimming with brain-twisting action! The mind games are only beginning when Supergirl, Wonder Woman, and Batgirl have no recollection ...",English,USA,1 win & 4 nominations.,https://m.media-amazon.com/images/M/MV5BZjYwODBmMDMtZDhlMy00MmRhLWE3YmUtOGNmMWQwOWMyYzI4XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '7%'}]",N/A,5.1,330,tt7158814,movie,N/A,N/A,"DC Entertainment, Mattel, Warner Bros.",N/A,True
HK: Forbidden Super Hero,2013,N/A,13 Apr 2013,106 min,Comedy,Yûichi Fukuda,"Keishû Andô (manga), Yûichi Fukuda (screenplay), Shun Oguri (screenplay)","Ryôhei Suzuki, Fumika Shimizu, Tsuyoshi Muro, Ken Yasuda",A high school boy receives mysterious superpowers from panties.,Japanese,Japan,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTA4NDAyMjAxNjVeQTJeQWpwZ15BbWU4MDY1MjkwMTMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}]",N/A,5.9,"2,227",tt2708764,movie,N/A,N/A,Toei Video Company,N/A,True
The Funkmaster Flex Super Series,2004,N/A,N/A,30 min,Reality-TV,Tim Deroin,N/A,N/A,Amateur stock car drivers from across America come to Connecticut's Waterford Speedway to race in the Funkmaster Flex Super Series Invitational. Last man standing wins!,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1349854,movie,N/A,N/A,N/A,N/A,True
Super DuckTales,1989,N/A,26 Mar 1989,N/A,"Adventure, Animation, Comedy",James T. Walker,"David Weimers, Ken Koonce, Jymn Magon","Hamilton Camp, Miriam Flynn, June Foray, Kathleen Freeman","When Scrooge McDuck is forced to physically relocate his Money Bin, he hires an accountant who later doubles as a resident superhero.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,125,tt0191519,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXXII,1998,N/A,25 Jan 1998,N/A,Sport,N/A,N/A,"Allen Aldridge, Steve Atwater, Steve Bono, Boyz II Men",The defending champion Green Bay Packers take on John Elway and the Denver Broncos.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,272,tt0478286,movie,17 Feb 1998,N/A,N/A,N/A,True
Super Fly T.N.T.,1973,R,15 Jun 1973,87 min,"Action, Crime, Drama",Ron O'Neal,"Alex Haley (screenplay by), Ron O'Neal (original story by), Sig Shore (original story by)","Ron O'Neal, Roscoe Lee Browne, Sheila Frazier, Robert Guillaume","A Harlem drug dealer and his girlfriend retire to Rome, where he joins an African revolution.","English, Italian",USA,N/A,https://m.media-amazon.com/images/M/MV5BNjg0ZDM5YTgtNGM0YS00OTk2LWE2MzktNzdjMTA3YmRkMjEwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,5.3,268,tt0070753,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXXVIII,2004,N/A,01 Feb 2004,N/A,"Music, Sport",Sam Irvin,N/A,"Chris Akins, Brian Allen, Joe Andruzzi, Tom Ashworth","Patriots vs. Panthers - Halftime show with Janet Jackson, Justin Timberlake, and the breast exposure that stole the show from an excellent game!",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,341,tt0399708,movie,N/A,N/A,N/A,N/A,True
Super vacanze di Natale,2017,N/A,14 Dec 2017,87 min,Documentary,Paolo Ruffini,N/A,"Christian De Sica, Massimo Boldi, Nadia Rinaldi, Maurizio Mattioli",A trashy sum of all the low level comedy christmas movies that came out in the last 25 years,Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BZmZkMDc1MjMtN2U0Mi00NjI3LWE1NDQtZGE4ZTMzYzBmMjNiXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.5/10'}]",N/A,2.5,128,tt7666582,movie,N/A,N/A,N/A,N/A,True
Billy Idol: In Super Overdrive,2010,N/A,N/A,N/A,Music,Joe Thomas,N/A,"Billy Idol, Steve Stevens",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt12019036,movie,N/A,N/A,N/A,N/A,True
Super Lunch,2009,N/A,01 Apr 2009,N/A,"Short, Comedy",Tarik Naim Alherimi,Reid Collums,"Reid Collums, Lauren Fain, Michael Wayne LeBlanc, Marel Medina",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1422764,movie,N/A,N/A,N/A,N/A,True
Sanjay's Super Team,2015,PG,25 Nov 2015,7 min,"Animation, Short, Action, Family, Fantasy, Thriller",Sanjay Patel,Sanjay Patel,"Brent Schraff, Sunny Singh Attar, Arun Rao, Jaquelynn Herrera","Sanjay loves cartoons and comics, while his father tries to draw him into his Hindu traditions. Reluctance turns into awe-inspiring adventure as the boy embarks on an amazing journey, returning with a new perspective they can both embrace.",English,USA,Nominated for 1 Oscar. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BMDQ3NjJlOTgtYTVlNC00ZGU3LTgxNDMtZWNiM2Y5OTljM2FiXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"4,430",tt4661600,movie,N/A,N/A,N/A,N/A,True
Super rapina a Milano,1964,TV-14,17 Dec 1964,93 min,"Crime, Drama","Adriano Celentano, Piero Vivarelli","Mario Guerra (screenplay), Vittorio Vighi (screenplay)","Adriano Celentano, Claudia Mori, Don Backy, Gino Santercole","A gang of young offenders organizes an unprecedented robbery. Disguised as brothers, during the escape they collide first with real friars, and then with the police.",Italian,Italy,N/A,https://m.media-amazon.com/images/M/MV5BZDE4ZTc5ZmYtYjg2ZS00ZTZhLTk3NzQtNmQzYTczNzZmZDUyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,121,tt0168201,movie,N/A,N/A,N/A,N/A,True
Super Bowl XLV,2011,N/A,06 Feb 2011,N/A,Sport,N/A,N/A,"Cameron Diaz, Lea Michele, John Travolta, Ron Howard","The AFC champion Pittsburgh Steelers and the NFC champion Green Bay Packers meet for the championship of the National Football League in Arlington, Texas.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,280,tt1426337,movie,N/A,N/A,N/A,N/A,True
Super Bowl V,1971,N/A,17 Jan 1971,N/A,Sport,N/A,N/A,"Herb Adderley, George Andrie, Norm Bulaich, Mike Clark",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,25,tt0475739,movie,N/A,N/A,N/A,N/A,True
Sounder Super Search,2009,N/A,01 Feb 2009,N/A,Sport,Mark Freijo,N/A,N/A,N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt1477851,movie,N/A,N/A,N/A,N/A,True
Super Hero,2018,N/A,16 Jun 2018,N/A,"Action, Adventure, Thriller",Ashiqur Rahman,"Delwar Hossain Dil (script), Delwar Hossain Dil (story), Ashiqur Rahman","Shakib Khan, Salman Arif, Sadek Bachchu, Shabnam Bubly","Honor, Pride and Sacrifice of team Special Force,",Bengali,Bangladesh,N/A,https://m.media-amazon.com/images/M/MV5BMDAzMWQyYzAtN2RkMS00MzQ0LWJmNzYtMzMwZTkxYjJhMGVkXkEyXkFqcGdeQXVyMjQwODkxNzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,320,tt8202076,movie,N/A,N/A,N/A,N/A,True
Thekkekara Super Fast,2004,N/A,10 Apr 2004,N/A,Comedy,Thaha,"Rajan Kiriyath, Vinu Kiriyath, Thaha (story)","Mukesh, Jagathi Sreekumar, Rajan P. Dev, Dileep",N/A,Malayalam,India,N/A,https://m.media-amazon.com/images/M/MV5BN2M4NGNlNjgtMGZhMy00MGUzLWJhNWUtNzAzN2M1NDdiN2RlXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}]",N/A,3.2,24,tt0413366,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXXV,2001,N/A,28 Jan 2001,N/A,Sport,Robert Matina,N/A,"*NSYNC, Sam Adams, Aerosmith, Marcus Allen",The New York Giants of the NFC faced the AFC champion Baltimore Ravens in the 35th renewal of professional football's AFC-NFC World Championship Game. The Giants were heavy favorites based ...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTQzNzk2OTIxNV5BMl5BanBnXkFtZTcwMzIwODIzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,254,tt0312212,movie,N/A,N/A,N/A,N/A,True
Tetsudô sôsakan 6: Tokkyu super yakumo no satsui,2005,N/A,01 Oct 2005,1 h 59 min,"Drama, Mystery",Tôru Murakawa,"Kyotaro Nishimura, Yu Tagami","Yasuko Sawaguchi, Minako Tanaka, Eugene Nomura, Takeo Chii",N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt1464587,movie,N/A,N/A,N/A,N/A,True
Super Deformed Double Feature,1992,N/A,N/A,22 min,"Animation, Short, Comedy","Katsuhito Akiyama, Tatsuya Masaki","Hideki Kakinuma, Kenichi Sonoda","Akiko Hiramatsu, Eriko Hara, Hideyuki Umezu, Hiromi Tsuru","Take the characters from a number of sci-fi based animes, a stage not unlike ""Wacky Races,"" super deformed madness, and general insanity and what you get is Scramble Wars. While Scramble ...",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BODZlODFlNzQtMTc5Ni00ZWM3LTlkMjMtMDc4MTczZGIyOTA5XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,25,tt0160929,movie,N/A,N/A,N/A,N/A,True
Super Detention,2016,TV-PG,N/A,84 min,"Action, Comedy, Family",Justin G. Dyck,Keith Cooper,"Keith Cooper, Tino Notarianni, Nina Kiri, Aaron Chartrand","It's X-Men meets The Breakfast Club. When five superhero teens are hauled into detention at their secret training academy, they have to work together to stop the sinister Kaelus from stealing all the students' powers.",English,Canada,N/A,https://m.media-amazon.com/images/M/MV5BYTA2MWQ3ZGQtZmVlNi00ZmVjLWE3MWQtOWRjZGQ0MjVjMDZjXkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,118,tt5639536,movie,N/A,N/A,N/A,N/A,True
Super Bowl XXXVIII Halftime Show,2004,N/A,01 Feb 2004,N/A,"Music, Sport",Beth McCarthy-Miller,N/A,"Texas Southern University Ocean Of Soul Marching Band, University of Houston Marching Band, DJ Hollygrove, Janet Jackson",N/A,English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,25,tt0783591,movie,N/A,N/A,N/A,N/A,True
LEGO DC Comics Super Heroes: Aquaman - Rage of Atlantis,2018,Not Rated,29 Aug 2018,77 min,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Matt Peters,"James Krieg, Jeremy Adams, Jerry Siegel (created by: Superman), Joe Shuster (created by: Superman), Paul Norris (created by: Aquaman), Bob Kane (created by: Batman), Bill Finger (created by: Batman), Marv Wolfman (created by: Cyborg), George Pérez (created by: Cyborg), William Moulton Marston (created by: Wonder Woman)","Jonathan Adams, Dee Bradley Baker, Troy Baker, Eric Bauza","Aquaman must battle foes in the air, on land and in the depths of the Seven Seas, along with some help from The Justice League, to save the day .",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMzQyMjQ5YTUtNWY3Ni00NjZkLWExMmUtYTliYWRlNDIyZmJkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,789,tt8457394,movie,N/A,N/A,N/A,N/A,True
